timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759501630477,27,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,1,1,http://localhost:8080/api/logs/search?q=error&size=50,23,0,17
1759501630828,13,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,1,1,http://localhost:8080/api/logs/count?q=error,13,0,0
1759501631236,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,2,2,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759501631606,2,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,2,2,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759501631666,3,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,2,2,http://localhost:8080/api/logs/count?q=error,3,0,0
1759501632003,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,2,2,http://localhost:8080/api/logs/count?q=error,2,0,0
1759501632016,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,2,2,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759501632319,2,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,3,3,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759501632472,2,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,3,3,http://localhost:8080/api/logs/count?q=error,2,0,0
1759501632490,3,GET /api/logs/search,200,,Searchers 1-3,text,true,,433,143,3,3,http://localhost:8080/api/logs/search?q=error&size=50,3,0,1
1759501632564,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,3,3,http://localhost:8080/api/logs/count?q=error,2,0,0
1759501632871,2,GET /api/logs/count,200,,Searchers 1-3,text,true,,432,134,3,3,http://localhost:8080/api/logs/count?q=error,2,0,0
1759501632970,3,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,3,3,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759501633038,2,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,3,3,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759501633261,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,4,4,http://localhost:8080/api/logs/count?q=error,2,0,0
1759501633318,2,GET /api/logs/search,200,,Searchers 1-3,text,true,,433,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759501633335,2,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,4,4,http://localhost:8080/api/logs/count?q=error,2,0,0
1759501633414,3,GET /api/logs/search,200,,Searchers 1-4,text,true,,433,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,3,0,1
1759501633644,2,GET /api/logs/count,200,,Searchers 1-3,text,true,,432,134,4,4,http://localhost:8080/api/logs/count?q=error,2,0,0
1759501633749,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759501633757,1,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,1,0,0
1759501633876,3,GET /api/logs/count,200,,Searchers 1-4,text,true,,432,134,4,4,http://localhost:8080/api/logs/count?q=error,2,0,0
1759501634057,2,GET /api/logs/search,200,,Searchers 1-3,text,true,,433,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759501634156,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,2,0,0
1759501634156,2,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,2,0,0
1759501634219,2,GET /api/logs/search,200,,Searchers 1-4,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759501634404,3,GET /api/logs/search,200,,Searchers 1-5,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,2,0,1
1759501634439,2,GET /api/logs/count,200,,Searchers 1-4,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,2,0,0
1759501634516,2,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759501634538,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759501634540,2,GET /api/logs/count,200,,Searchers 1-3,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,1,0,0
1759501634777,2,GET /api/logs/search,200,,Searchers 1-3,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759501634868,2,GET /api/logs/count,200,,Searchers 1-5,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,2,0,0
1759501634903,2,GET /api/logs/search,200,,Searchers 1-4,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759501634907,1,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,1,0,0
1759501634935,1,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,1,0,0
1759501634987,2,GET /api/logs/count,200,,Searchers 1-3,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,2,0,0
1759501635106,2,GET /api/logs/search,200,,Searchers 1-5,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759501635137,2,GET /api/logs/count,200,,Searchers 1-4,text,true,,432,134,6,6,http://localhost:8080/api/logs/count?q=error,2,0,0
1759501635182,1,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,1,0,0
1759501635199,1,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,1,0,0
1759501635213,2,GET /api/logs/search,200,,Searchers 1-3,text,true,,433,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759501635407,2,GET /api/logs/search,200,,Searchers 1-4,text,true,,433,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759501635455,1,GET /api/logs/count,200,,Searchers 1-5,text,true,,432,134,6,6,http://localhost:8080/api/logs/count?q=error,1,0,0
