timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759490299546,25,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,1,1,http://localhost:8080/api/logs/search?q=error&size=50,22,0,16
1759490299936,7,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,1,1,http://localhost:8080/api/logs/count?q=error,7,0,0
1759490300229,3,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,2,2,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490300438,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,2,2,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490300559,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,2,2,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490300754,2,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,2,2,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490300912,2,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,2,2,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490301012,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,3,3,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490301181,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,3,3,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490301245,2,GET /api/logs/search,200,,Searchers 1-3,text,true,,433,143,3,3,http://localhost:8080/api/logs/search?q=error&size=50,2,0,1
1759490301360,2,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,3,3,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490301481,3,GET /api/logs/count,200,,Searchers 1-3,text,true,,432,134,3,3,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490301647,2,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,3,3,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490301807,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,3,3,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490301938,2,GET /api/logs/search,200,,Searchers 1-3,text,true,,433,143,3,3,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490301975,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,4,4,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490302171,2,GET /api/logs/count,200,,Searchers 1-3,text,true,,432,134,4,4,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490302300,3,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,4,4,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490302428,3,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759490302433,2,GET /api/logs/search,200,,Searchers 1-4,text,true,,433,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,2,0,1
1759490302635,3,GET /api/logs/search,200,,Searchers 1-3,text,true,,433,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490302702,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,4,4,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490302746,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490302861,2,GET /api/logs/count,200,,Searchers 1-4,text,true,,432,134,4,4,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490302867,2,GET /api/logs/count,200,,Searchers 1-3,text,true,,432,134,4,4,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490303009,3,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,3,0,0
1759490303010,2,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490303158,2,GET /api/logs/search,200,,Searchers 1-3,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,1,0,0
1759490303253,3,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,3,0,0
1759490303300,2,GET /api/logs/search,200,,Searchers 1-4,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490303378,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490303454,2,GET /api/logs/search,200,,Searchers 1-5,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,2,0,1
1759490303528,1,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,1,0,0
1759490303615,2,GET /api/logs/count,200,,Searchers 1-3,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490303650,2,GET /api/logs/count,200,,Searchers 1-4,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490303780,3,GET /api/logs/count,200,,Searchers 1-5,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,3,0,0
1759490303818,3,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490303892,3,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,3,0,0
1759490304099,2,GET /api/logs/search,200,,Searchers 1-4,text,true,,433,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490304106,2,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490304108,2,GET /api/logs/search,200,,Searchers 1-3,text,true,,433,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490304208,2,GET /api/logs/search,200,,Searchers 1-5,text,true,,433,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490304294,3,GET /api/logs/search,200,,Searchers 1-6,text,true,,433,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,3,0,1
1759490304314,3,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759490304328,2,GET /api/logs/count,200,,Searchers 1-3,text,true,,432,134,6,6,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490304408,2,GET /api/logs/count,200,,Searchers 1-4,text,true,,432,134,6,6,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490304436,2,GET /api/logs/count,200,,Searchers 1-5,text,true,,432,134,6,6,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490304564,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,6,6,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490304624,3,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,6,6,http://localhost:8080/api/logs/count?q=error,3,0,0
1759490304667,2,GET /api/logs/search,200,,Searchers 1-4,text,true,,433,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490304702,2,GET /api/logs/count,200,,Searchers 1-6,text,true,,432,134,6,6,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490304733,3,GET /api/logs/search,200,,Searchers 1-3,text,true,,433,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759490304819,2,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490304830,2,GET /api/logs/search,200,,Searchers 1-5,text,true,,433,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490304934,2,GET /api/logs/count,200,,Searchers 1-4,text,true,,432,134,6,6,http://localhost:8080/api/logs/count?q=error,1,0,0
1759490304937,1,GET /api/logs/count,200,,Searchers 1-3,text,true,,432,134,6,6,http://localhost:8080/api/logs/count?q=error,1,0,0
1759490304952,1,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,1,0,0
1759490305027,2,GET /api/logs/search,200,,Searchers 1-6,text,true,,433,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490305192,2,GET /api/logs/count,200,,Searchers 1-5,text,true,,432,134,7,7,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490305240,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,7,7,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490305297,2,GET /api/logs/count,200,,Searchers 1-6,text,true,,432,134,7,7,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490305310,2,GET /api/logs/search,200,,Searchers 1-4,text,true,,433,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490305356,2,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,7,7,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490305407,3,GET /api/logs/search,200,,Searchers 1-3,text,true,,433,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759490305408,3,GET /api/logs/search,200,,Searchers 1-7,text,true,,433,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759490305428,2,GET /api/logs/search,200,,Searchers 1-5,text,true,,433,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,1,0,0
1759490305565,1,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,1,0,0
1759490305604,2,GET /api/logs/count,200,,Searchers 1-4,text,true,,432,134,7,7,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490305620,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490305680,2,GET /api/logs/search,200,,Searchers 1-6,text,true,,433,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490305804,2,GET /api/logs/count,200,,Searchers 1-7,text,true,,432,134,7,7,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490305838,3,GET /api/logs/count,200,,Searchers 1-3,text,true,,432,134,7,7,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490305877,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,7,7,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490305891,3,GET /api/logs/count,200,,Searchers 1-5,text,true,,432,134,7,7,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490305931,3,GET /api/logs/count,200,,Searchers 1-6,text,true,,432,134,7,7,http://localhost:8080/api/logs/count?q=error,3,0,0
1759490306003,2,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,8,8,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490306062,2,GET /api/logs/search,200,,Searchers 1-4,text,true,,433,143,8,8,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490306151,2,GET /api/logs/search,200,,Searchers 1-7,text,true,,433,143,8,8,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490306155,1,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,8,8,http://localhost:8080/api/logs/search?q=error&size=50,1,0,0
1759490306182,2,GET /api/logs/search,200,,Searchers 1-5,text,true,,433,143,8,8,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490306257,2,GET /api/logs/search,200,,Searchers 1-6,text,true,,433,143,8,8,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490306290,2,GET /api/logs/count,200,,Searchers 1-4,text,true,,432,134,8,8,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490306306,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,8,8,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490306310,2,GET /api/logs/search,200,,Searchers 1-3,text,true,,433,143,8,8,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490306357,2,GET /api/logs/search,200,,Searchers 1-8,text,true,,433,143,8,8,http://localhost:8080/api/logs/search?q=error&size=50,2,0,1
1759490306469,3,GET /api/logs/count,200,,Searchers 1-7,text,true,,432,134,8,8,http://localhost:8080/api/logs/count?q=error,3,0,0
1759490306480,3,GET /api/logs/count,200,,Searchers 1-5,text,true,,432,134,8,8,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490306522,2,GET /api/logs/count,200,,Searchers 1-6,text,true,,432,134,8,8,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490306534,2,GET /api/logs/search,200,,Searchers 1-4,text,true,,433,143,8,8,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490306548,2,GET /api/logs/count,200,,Searchers 1-3,text,true,,432,134,8,8,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490306557,3,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,8,8,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490306608,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,8,8,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490306669,2,GET /api/logs/count,200,,Searchers 1-8,text,true,,432,134,8,8,http://localhost:8080/api/logs/count?q=error,2,0,0
1759490306741,2,GET /api/logs/search,200,,Searchers 1-7,text,true,,433,143,8,8,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490306761,3,GET /api/logs/search,200,,Searchers 1-6,text,true,,433,143,8,8,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759490306954,2,GET /api/logs/search,200,,Searchers 1-5,text,true,,433,143,8,8,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
